CCSR Category,CCSR Category Description,Clinical Domain,ICD-10-PCS Root Operations,ICD-10-PCS Body Parts,ICD-10-PCS Devices,ICD-10-PCS Approaches
ENT001,Laryngoscopy (diagnostic),"Ear, Nose, and Throat Procedures","Inspection, Excision, Drainage","Larynx, Epiglottis, ""Vocal Cord, Left"", ""Vocal Cord, Right""",No Device,Via Natural or Artificial Opening Endoscopic
ENT002,ENT diagnostic endoscopy (excluding laryngoscopy),"Ear, Nose, and Throat Procedures","Inspection, Excision, Drainage","Mouth and Throat, Nasal Mucosa and Soft Tissue, Pharynx, Sinus, Nasopharynx, Nasal Turbinate, ""Maxillary Sinus, Left"", ""Sphenoid Sinus, Left"", Nasal Septum, ""Ear, Right"", ""Ethmoid Sinus, Left"", ""Ear, Left"", ""Maxillary Sinus, Right"", ""Ethmoid Sinus, Right"", ""Tympanic Membrane, Right"", ""Sphenoid Sinus, Right"", ""Tympanic Membrane, Left"", ""Frontal Sinus, Right"", ""Frontal Sinus, Left"", ""Inner Ear, Left"", ""Inner Ear, Right"", Accessory Sinus, ""Auditory Ossicle, Right"", ""External Auditory Canal, Right"", ""Middle Ear, Right"", ""Mastoid Sinus, Left"", ""Eustachian Tube, Left"", ""External Auditory Canal, Left""",No Device,Via Natural or Artificial Opening Endoscopic
ENT003,ENT diagnostic procedures (non-endoscopic),"Ear, Nose, and Throat Procedures","Excision, Inspection, Drainage","Neck, Oral Cavity and Throat, Tongue, Tonsils, Pharynx, Mouth and Throat, Minor Salivary Gland, Larynx, Nasal Mucosa and Soft Tissue, Buccal Mucosa, ""Parotid Gland, Left"", ""Parotid Gland, Right"", Lower Lip, Hard Palate, Soft Palate, Face, Lower Gingiva, Lower Jaw, ""External Ear, Left"", ""Submaxillary Gland, Right"", Nasopharynx, Upper Lip, Head, ""Maxillary Sinus, Left"", ""Ear, Left"", ""Ear, Right"", Nasal Septum, ""Submaxillary Gland, Left"", ""Tympanic Membrane, Right"", ""Tympanic Membrane, Left"", ""External Auditory Canal, Left"", ""External Ear, Right"", Nasal Turbinate, ""Maxillary Sinus, Right"", ""External Auditory Canal, Right"", Sinus, Upper Gingiva, Salivary Gland, ""Sphenoid Sinus, Left"", Epiglottis, ""Sphenoid Sinus, Right"", ""Tongue, Palate, Pharynx Muscle"", ""Middle Ear, Left"", Upper Jaw, ""Frontal Sinus, Right"", ""Frontal Sinus, Left"", ""Middle Ear, Right"", ""Sublingual Gland, Right"", ""Mastoid Sinus, Left"", ""Mastoid Sinus, Right"", Adenoids, Uvula, ""Inner Ear, Left"", ""Vocal Cord, Left"", ""Inner Ear, Right"", ""Sublingual Gland, Left"", ""Vocal Cord, Right"", Accessory Sinus, ""Parotid Duct, Left"", ""Ethmoid Sinus, Left"", ""Parotid Duct, Right"", ""Ethmoid Sinus, Right""",No Device,"Open, External, Percutaneous, Via Natural or Artificial Opening, Percutaneous Endoscopic"
ENT004,Diagnostic audiology,"Ear, Nose, and Throat Procedures",Hearing Assessment,None,"None, Otoacoustic Emission (OAE), Electrophysiologic, Audiometer, Occupational Hearing, Tympanometer, Other Equipment, Vestibular / Balance, Sound Field / Booth, Audiovisual","Hearing Screening, ""Evoked Otoacoustic Emissions, Screening"", Auditory Evoked Potentials, ""Evoked Otoacoustic Emissions, Diagnostic"", Auditory Processing, ""Pure Tone Audiometry, Air"", Tympanometry, Electrocochleography, ""Pure Tone Audiometry, Air and Bone"", Bekesy Audiometry, Alternate Binaural or Monaural Loudness Balance, Conditioned Play Audiometry, Eustachian Tube Function, Visual Reinforcement Audiometry"
ENT005,Myringotomy,"Ear, Nose, and Throat Procedures","Drainage, Removal","""Middle Ear, Right"", ""Middle Ear, Left"", ""Tympanic Membrane, Right"", ""Tympanic Membrane, Left""","Drainage Device, No Device","Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic, External, Percutaneous"
ENT006,ENT drainage (excluding myringotomy),"Ear, Nose, and Throat Procedures","Drainage, Removal, Change, Revision","Tonsils, Oral Cavity and Throat, Neck, Pharynx, Buccal Mucosa, ""Maxillary Sinus, Right"", ""Maxillary Sinus, Left"", Lower Jaw, Face, ""External Ear, Left"", ""Sphenoid Sinus, Right"", ""Frontal Sinus, Left"", ""Sphenoid Sinus, Left"", ""External Ear, Right"", ""Frontal Sinus, Right"", Upper Lip, Head, Lower Gingiva, Nasal Mucosa and Soft Tissue, Upper Gingiva, Nasal Septum, Upper Jaw, Lower Lip, ""Parotid Gland, Right"", Larynx, ""Parotid Gland, Left"", Nasopharynx, ""Submaxillary Gland, Right"", ""Submaxillary Gland, Left"", ""Ethmoid Sinus, Left"", ""Sublingual Gland, Left"", Tongue, ""Ethmoid Sinus, Right"", ""Sublingual Gland, Right"", ""External Auditory Canal, Left"", Epiglottis, ""Mastoid Sinus, Right"", Adenoids, ""Mastoid Sinus, Left"", Soft Palate, ""Ear, Left"", Hard Palate, ""Ear, Right"", ""Inner Ear, Left"", Minor Salivary Gland, Mouth and Throat, ""Parotid Duct, Right"", ""Vocal Cord, Right"", ""Vocal Cord, Left"", Nasal Turbinate, Accessory Sinus, ""Parotid Duct, Left"", ""Inner Ear, Right"", ""External Auditory Canal, Right"", Uvula, ""Auditory Ossicle, Left"", Sinus, ""Tongue, Palate, Pharynx Muscle"", ""Eustachian Tube, Right""","No Device, Drainage Device","Open, Via Natural or Artificial Opening Endoscopic, Percutaneous, External, Via Natural or Artificial Opening, Percutaneous Endoscopic"
ENT007,Tonsilectomy and adenoidectomy,"Ear, Nose, and Throat Procedures","Resection, Destruction, Excision","Tonsils, Adenoids",No Device,"External, Open, Percutaneous"
ENT008,Nasal and sinus excision,"Ear, Nose, and Throat Procedures","Excision, Resection, Extraction, Destruction","""Ethmoid Sinus, Right"", ""Ethmoid Sinus, Left"", Nasal Turbinate, Nasal Septum, ""Maxillary Sinus, Right"", ""Sphenoid Sinus, Left"", ""Maxillary Sinus, Left"", ""Sphenoid Sinus, Right"", Nasal Mucosa and Soft Tissue, ""Frontal Sinus, Left"", ""Frontal Sinus, Right"", ""Mastoid Sinus, Left"", Nasopharynx, ""Mastoid Sinus, Right"", Accessory Sinus",No Device,"Via Natural or Artificial Opening Endoscopic, Open, Percutaneous Endoscopic, Via Natural or Artificial Opening, Percutaneous, External"
ENT009,Tongue excision,"Ear, Nose, and Throat Procedures","Excision, Resection, Destruction",Tongue,No Device,"External, Open, Percutaneous"
ENT010,Salivary gland excision,"Ear, Nose, and Throat Procedures","Excision, Resection, Destruction","""Parotid Gland, Left"", ""Parotid Gland, Right"", ""Submaxillary Gland, Left"", ""Submaxillary Gland, Right"", ""Parotid Duct, Left"", ""Parotid Duct, Right"", ""Sublingual Gland, Left"", ""Sublingual Gland, Right"", Minor Salivary Gland",No Device,"Open, Percutaneous"
ENT011,Laryngectomy,"Ear, Nose, and Throat Procedures","Resection, Excision, Destruction, Extraction","Larynx, Epiglottis, ""Vocal Cord, Left"", ""Vocal Cord, Right""",No Device,"Open, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous Endoscopic"
ENT012,"ENT excision (excluding nasal passage, sinuses, tongue, salivary glands, larynx)","Ear, Nose, and Throat Procedures","Excision, Resection, Destruction, Extraction","Pharynx, Oral Cavity and Throat, Buccal Mucosa, Soft Palate, ""External Ear, Right"", ""External Ear, Left"", Upper Lip, Hard Palate, Uvula, Neck, Lower Lip, Lower Gingiva, ""External Auditory Canal, Left"", ""Tongue, Palate, Pharynx Muscle"", ""External Auditory Canal, Right"", ""Middle Ear, Right"", ""Inner Ear, Left"", ""Inner Ear, Right"", ""Middle Ear, Left"", Upper Gingiva, ""Auditory Ossicle, Right"", ""Auditory Ossicle, Left"", Face, ""Eustachian Tube, Right"", ""Tympanic Membrane, Right"", Head, Lower Jaw, ""Tympanic Membrane, Left"", ""Eustachian Tube, Left"", Upper Jaw",No Device,"Open, External, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous Endoscopic, Percutaneous"
ENT013,ENT repair,"Ear, Nose, and Throat Procedures","Repair, Supplement, Replacement","Upper Lip, Lower Lip, Nasal Mucosa and Soft Tissue, Tongue, Buccal Mucosa, ""Sphenoid Sinus, Left"", ""Sphenoid Sinus, Right"", Pharynx, Neck, Oral Cavity and Throat, ""External Ear, Left"", Nasal Septum, Larynx, ""External Ear, Right"", Face, Hard Palate, Soft Palate, Head, ""Frontal Sinus, Right"", ""Frontal Sinus, Left"", Lower Gingiva, ""Tongue, Palate, Pharynx Muscle"", Upper Gingiva, ""Middle Ear, Right"", ""Inner Ear, Left"", Nasal Turbinate, ""Middle Ear, Left"", Lower Jaw, ""Inner Ear, Right"", ""Tympanic Membrane, Left"", ""Vocal Cord, Left"", ""Tympanic Membrane, Right"", Nasopharynx, ""Maxillary Sinus, Left"", ""Vocal Cord, Right"", ""Ethmoid Sinus, Left"", ""Mastoid Sinus, Left"", ""Maxillary Sinus, Right"", ""Mastoid Sinus, Right"", ""Auditory Ossicle, Right"", ""Ethmoid Sinus, Right"", ""External Auditory Canal, Left"", ""External Auditory Canal, Right"", ""Parotid Duct, Left"", ""External Ear, Bilateral"", Epiglottis, ""Eustachian Tube, Right"", ""Auditory Ossicle, Left"", ""Parotid Duct, Right"", Upper Jaw, Uvula, Tonsils, ""Parotid Gland, Left"", ""Parotid Gland, Right"", ""Eustachian Tube, Left"", ""Submaxillary Gland, Left"", Minor Salivary Gland, Accessory Sinus, ""Submaxillary Gland, Right""","No Device, Autologous Tissue Substitute, Synthetic Substitute, Nonautologous Tissue Substitute","Open, External, Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening"
ENT014,Frenectomy,"Ear, Nose, and Throat Procedures",Release,Tongue,No Device,"External, Open, Percutaneous"
ENT015,Dental procedures,"Ear, Nose, and Throat Procedures","Extraction, Resection, Replacement, Drainage, Excision, Repair, Extirpation, Reposition, Reattachment, Release, Destruction","Lower Tooth, Upper Tooth","No Device, Synthetic Substitute, Drainage Device, External Fixation Device, Nonautologous Tissue Substitute","External, Open"
ENT016,Face transplant,"Ear, Nose, and Throat Procedures",Transplantation,Face,No Device,Open
ENT017,"ENT procedures, NEC","Ear, Nose, and Throat Procedures","Extirpation, Transfer, Reposition, Insertion, Dilation, Division, Release, Removal, Revision, Reattachment, Occlusion, Vestibular Treatment, Hearing Treatment, Change, Restriction, Device Fitting, Fragmentation, Bypass","""Tongue, Palate, Pharynx Muscle"", Larynx, Nasal Septum, ""External Auditory Canal, Left"", ""External Auditory Canal, Right"", Mouth and Throat, Pharynx, Nasal Turbinate, Upper Lip, Buccal Mucosa, Nasal Mucosa and Soft Tissue, ""Sphenoid Sinus, Right"", ""Sphenoid Sinus, Left"", Soft Palate, Lower Lip, Lower Jaw, Nasopharynx, Head, Epiglottis, Oral Cavity and Throat, Neck, ""Inner Ear, Left"", ""Inner Ear, Right"", Tongue, ""External Ear, Left"", ""External Ear, Right"", ""Maxillary Sinus, Right"", None, Upper Jaw, Sinus, ""Parotid Duct, Right"", ""Parotid Duct, Left"", ""Maxillary Sinus, Left"", ""Eustachian Tube, Left"", Upper Gingiva, Face, Lower Gingiva, ""Submaxillary Gland, Left"", ""Submaxillary Gland, Right"", ""Eustachian Tube, Right"", ""Vocal Cord, Left"", ""Ethmoid Sinus, Right"", ""Frontal Sinus, Left"", ""Ethmoid Sinus, Left"", ""Ear, Right"", Hard Palate, ""Vocal Cord, Right"", Tonsils, ""Tympanic Membrane, Right"", ""Tympanic Membrane, Left"", ""Middle Ear, Right"", ""Middle Ear, Left"", ""Frontal Sinus, Right"", ""Ear, Left"", Salivary Gland, Uvula, ""Auditory Ossicle, Right"", ""Sublingual Gland, Left"", ""Sublingual Gland, Right"", ""Temporal Bone, Right"", ""Parotid Gland, Left"", ""Mastoid Sinus, Right"", Skull, ""Temporal Bone, Left"", Minor Salivary Gland, ""Parotid Gland, Right"", ""Mastoid Sinus, Left"", Accessory Sinus","No Device, ""Intraluminal Device, Airway"", Other Device, Synthetic Substitute, Intraluminal Device, Hearing Device, Infusion Device, ""Hearing Device, Single Channel Cochlear Prosthesis"", Autologous Tissue Substitute, ""Hearing Device, Multiple Channel Cochlear Prosthesis"", Vestibular / Balance, Nonautologous Tissue Substitute, None, Cerumen Management, ""Hearing Device, Bone Conduction"", Extraluminal Device","Open, Via Natural or Artificial Opening Endoscopic, External, Via Natural or Artificial Opening, Percutaneous Endoscopic, Percutaneous, Vestibular, Cerumen Management, Binaural Hearing Aid, Auditory Processing, Hearing and Related Disorders Prevention"
ESA001,Hemodialysis,Extracorporeal or Systemic Assistance and Performance,Performance,Urinary,Filtration,"""Intermittent, Less than 6 Hours Per Day"", ""Continuous, Greater than 18 hours Per Day"", ""Prolonged Intermittent, 6-18 hours Per Day"""
ESA002,Extracorporeal membrane oxygenation,Extracorporeal or Systemic Assistance and Performance,"Performance, Assistance","Circulatory, Respiratory","Oxygenation, Filtration",Continuous
ESA003,Mechanical ventilation,Extracorporeal or Systemic Assistance and Performance,Performance,Respiratory,Ventilation,"Greater than 96 Consecutive Hours, 24-96 Consecutive Hours, Less than 24 Consecutive Hours"
ESA004,Non-invasive ventilation,Extracorporeal or Systemic Assistance and Performance,"Assistance, Performance",Respiratory,Ventilation,"Less than 24 Consecutive Hours, 24-96 Consecutive Hours, Greater than 96 Consecutive Hours, Single"
ESA005,Cardiac chest compression,Extracorporeal or Systemic Assistance and Performance,Performance,Cardiac,Output,Single
ESA006,Cardioversion,Extracorporeal or Systemic Assistance and Performance,Restoration,Cardiac,Rhythm,Single
ESA007,Cardiac pacing,Extracorporeal or Systemic Assistance and Performance,Performance,Cardiac,Pacing,"Continuous, Intermittent"
ESA008,Open heart cardiopulmonary bypass,Extracorporeal or Systemic Assistance and Performance,Performance,"Cardiac, Circulatory","Output, Oxygenation","Continuous, Intraoperative"
ESA009,Cardiac assistance with balloon pump,Extracorporeal or Systemic Assistance and Performance,Assistance,Cardiac,Output,"Continuous, Intermittent"
ESA010,Cardiac assistance with ventricular assist device,Extracorporeal or Systemic Assistance and Performance,Assistance,Cardiac,Output,"Continuous, Intermittent"
ESA011,Hyperbaric oxygen therapy,Extracorporeal or Systemic Assistance and Performance,Assistance,Circulatory,Oxygenation,"Intermittent, Continuous"
EST001,Pheresis therapy,Extracorporeal or Systemic Therapies,Pheresis,Circulatory,No Qualifier,"Single, Multiple"
EST002,Phototherapy,Extracorporeal or Systemic Therapies,Phototherapy,"Skin, Circulatory",No Qualifier,"Multiple, Single"
EST003,Ultraviolet light therapy,Extracorporeal or Systemic Therapies,Ultraviolet Light Therapy,Skin,No Qualifier,"Multiple, Single"
EST004,Hypothermia therapy,Extracorporeal or Systemic Therapies,Hypothermia,None,No Qualifier,"Single, Multiple"
EST005,"Extracorporeal or systemic therapies, NEC",Extracorporeal or Systemic Therapies,"Ultrasound Therapy, Perfusion, Hyperthermia, Decompression, Atmospheric Control, Shock Wave Therapy, Electromagnetic Therapy","Circulatory, Urinary System, None, Hepatobiliary System and Pancreas, Respiratory System, Musculoskeletal, Central Nervous","No Qualifier, Donor Organ","Single, Multiple"
EYP001,Eye procedures,Eye Procedures,"Repair, Inspection, Release, Drainage, Destruction, Excision, Replacement, Resection, Extirpation, Supplement, Extraction, Reposition, Bypass, Removal, Insertion, Revision, Vestibular Treatment","""Eye, Left"", ""Eye, Right"", ""Retina, Right"", ""Retina, Left"", ""Cornea, Left"", ""Vitreous, Right"", ""Vitreous, Left"", ""Cornea, Right"", ""Sclera, Left"", ""Anterior Chamber, Left"", ""Sclera, Right"", ""Anterior Chamber, Right"", ""Lens, Left"", ""Lens, Right"", ""Conjunctiva, Left"", ""Conjunctiva, Right"", ""Extraocular Muscle, Right"", ""Extraocular Muscle, Left"", ""Iris, Right"", ""Iris, Left"", ""Choroid, Left"", ""Choroid, Right"", ""Retinal Vessel, Right"", ""Retinal Vessel, Left"", None","No Device, Synthetic Substitute, Nonautologous Tissue Substitute, Autologous Tissue Substitute, Other Device, Drainage Device, ""Synthetic Substitute, Intraocular Telescope"", Other Equipment, Intraluminal Device","External, Percutaneous, Open, Via Natural or Artificial Opening, Visual Motor Integration, Via Natural or Artificial Opening Endoscopic"
EYP002,Eyelid procedures,Eye Procedures,"Repair, Reposition, Drainage, Excision, Supplement, Dilation, Release, Replacement, Bypass, Extirpation, Resection, Destruction, Occlusion, Reattachment","""Upper Eyelid, Left"", ""Upper Eyelid, Right"", ""Lower Eyelid, Left"", ""Lower Eyelid, Right"", ""Lacrimal Duct, Right"", ""Lacrimal Duct, Left"", ""Lacrimal Gland, Left"", ""Lacrimal Gland, Right""","No Device, Synthetic Substitute, Intraluminal Device, Autologous Tissue Substitute, Nonautologous Tissue Substitute, Drainage Device","External, Open, Percutaneous, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
FRS001,Hysterectomy,Female Reproductive System Procedures,Resection,"Uterus, Uterine Supporting Structure, Cul-de-sac",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
FRS002,Oophorectomy,Female Reproductive System Procedures,Resection,"""Ovaries, Bilateral"", ""Ovary, Right"", ""Ovary, Left""",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
FRS003,Salpingectomy,Female Reproductive System Procedures,Resection,"""Fallopian Tubes, Bilateral"", ""Fallopian Tube, Right"", ""Fallopian Tube, Left""",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
FRS004,Trachelectomy,Female Reproductive System Procedures,Resection,Cervix,No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening, Via Natural or Artificial Opening Endoscopic"
FRS005,Fallopian tube ligation and excision,Female Reproductive System Procedures,"Excision, Occlusion, Destruction","""Fallopian Tubes, Bilateral"", ""Fallopian Tube, Left"", ""Fallopian Tube, Right""","No Device, Extraluminal Device, Intraluminal Device","Open, Percutaneous Endoscopic, Via Natural or Artificial Opening, Percutaneous, Via Natural or Artificial Opening Endoscopic"
FRS006,Vulvar laceration repair,Female Reproductive System Procedures,Repair,Vulva,No Device,"External, Open"
FRS007,Female genital tract repair (excluding vulva),Female Reproductive System Procedures,"Repair, Supplement","Vagina, Cervix, Clitoris, ""Perineum, Female"", Cul-de-sac, Hymen, Uterus, Uterine Supporting Structure, ""Ovary, Right"", ""Fallopian Tube, Left"", ""Ovary, Left"", ""Fallopian Tubes, Bilateral"", ""Ovaries, Bilateral"", ""Fallopian Tube, Right"", Vestibular Gland","No Device, Synthetic Substitute, Autologous Tissue Substitute, Nonautologous Tissue Substitute","External, Via Natural or Artificial Opening, Open, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Percutaneous"
FRS008,Cervical dilation,Female Reproductive System Procedures,Dilation,Cervix,"No Device, Intraluminal Device","Via Natural or Artificial Opening, Percutaneous, Open, Via Natural or Artificial Opening Endoscopic, Percutaneous Endoscopic"
FRS009,Cervical cerclage,Female Reproductive System Procedures,Restriction,Cervix,"No Device, Extraluminal Device, Intraluminal Device","Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic, Percutaneous, Percutaneous Endoscopic"
FRS010,Female upper genital tract excision,Female Reproductive System Procedures,"Excision, Extraction, Destruction","Uterus, ""Ovary, Left"", ""Ovary, Right"", Endometrium, ""Ovaries, Bilateral"", Cervix, Uterine Supporting Structure, Cul-de-sac, Ova",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous"
FRS011,Female lower genital tract excision,Female Reproductive System Procedures,"Excision, Destruction","Vagina, Vulva, ""Perineum, Female"", Hymen, Vestibular Gland, Clitoris",No Device,"Open, External, Via Natural or Artificial Opening, Percutaneous Endoscopic, Via Natural or Artificial Opening Endoscopic, Percutaneous"
FRS012,Intrauterine device (IUD) insertion,Female Reproductive System Procedures,Insertion,"Uterus, Cervix",Contraceptive Device,"Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic"
FRS013,Subcutaneous contraceptive implant,Female Reproductive System Procedures,"Insertion, Removal","""Subcutaneous Tissue and Fascia, Left Upper Arm"", ""Subcutaneous Tissue and Fascia, Right Upper Arm"", ""Subcutaneous Tissue and Fascia, Left Lower Arm"", ""Subcutaneous Tissue and Fascia, Upper Extremity"", ""Subcutaneous Tissue and Fascia, Left Upper Leg"", ""Subcutaneous Tissue and Fascia, Right Lower Arm"", ""Subcutaneous Tissue and Fascia, Right Upper Leg"", ""Subcutaneous Tissue and Fascia, Left Lower Leg"", ""Subcutaneous Tissue and Fascia, Chest"", ""Subcutaneous Tissue and Fascia, Abdomen"", ""Subcutaneous Tissue and Fascia, Trunk"", ""Subcutaneous Tissue and Fascia, Right Lower Leg""",Contraceptive Device,"Percutaneous, Open, External"
FRS014,Ovary or uterus transplant,Female Reproductive System Procedures,,,,
FRS015,"Female reproductive system procedures, NEC",Female Reproductive System Procedures,"Extirpation, Inspection, Release, Drainage, Excision, Reposition, Extraction, Removal, Resection, Insertion, Occlusion, Other Procedures, Dilation, Creation, Division, Supplement, Change, Revision, Reattachment, Bypass, Introduction","Uterus, Vagina, Uterus and Cervix, Cervix, Endometrium, Vulva, ""Ovary, Left"", ""Ovary, Right"", Vagina and Cul-de-sac, ""Perineum, Female"", ""Ovaries, Bilateral"", ""Fallopian Tube, Left"", Cul-de-sac, ""Fallopian Tube, Right"", ""Fallopian Tubes, Bilateral"", Ovary, Vestibular Gland, Fallopian Tube, Uterine Supporting Structure, Female Reproductive System, Hymen, Clitoris, None, Female Reproductive","No Device, Contraceptive Device, Drainage Device, Other Device, Other Method, Synthetic Substitute, Intraluminal Device, Autologous Tissue Substitute, ""Intraluminal Device, Pessary"", Infusion Device, Extraluminal Device, Nonautologous Tissue Substitute, Sperm","Via Natural or Artificial Opening, Open, Percutaneous Endoscopic, External, Via Natural or Artificial Opening Endoscopic, Percutaneous"
GIS001,Esophagogastroduodenoscopy (EGD) with biopsy,Gastrointestinal System Procedures,"Excision, Extraction, Drainage","Stomach, Duodenum, ""Stomach, Pylorus"", Esophagus, ""Esophagus, Lower"", Esophagogastric Junction, ""Esophagus, Middle"", ""Esophagus, Upper"", Small Intestine, Jejunum",No Device,Via Natural or Artificial Opening Endoscopic
GIS002,Colonoscopy and proctoscopy with biopsy,Gastrointestinal System Procedures,"Excision, Extraction, Drainage","Sigmoid Colon, Rectum, Transverse Colon, Ascending Colon, Descending Colon, Cecum, Large Intestine, Ileum, ""Large Intestine, Left"", ""Large Intestine, Right"", Ileocecal Valve, Anus, Appendix",No Device,Via Natural or Artificial Opening Endoscopic
GIS003,GI system biopsy (non-endoscopic),Gastrointestinal System Procedures,"Excision, Drainage, Extraction","Omentum, Peritoneum, Rectum, Mesentery, Stomach, Sigmoid Colon, Small Intestine, Anus, Duodenum, Ileum, Transverse Colon, ""Stomach, Pylorus"", Jejunum, Descending Colon, Cecum, Large Intestine, Ascending Colon, Appendix, ""Large Intestine, Right"", Esophagus, ""Large Intestine, Left"", Esophagogastric Junction, ""Esophagus, Lower"", ""Esophagus, Middle"", ""Esophagus, Upper"", Ileocecal Valve, Anal Sphincter",No Device,"Open, Percutaneous Endoscopic, Percutaneous, Via Natural or Artificial Opening, External"
GIS004,GI system endoscopy without biopsy (diagnostic),Gastrointestinal System Procedures,Inspection,"Upper Intestinal Tract, Lower Intestinal Tract, Stomach, Gastrointestinal Tract",No Device,Via Natural or Artificial Opening Endoscopic
GIS005,Exploration of peritoneal cavity,Gastrointestinal System Procedures,Inspection,"Peritoneal Cavity, Lower Intestinal Tract, Upper Intestinal Tract, Gastrointestinal Tract, Peritoneum, Pelvic Cavity, Stomach, Mesentery, Omentum",No Device,"Percutaneous Endoscopic, Open, Via Natural or Artificial Opening, Percutaneous, External"
GIS006,Paracentesis,Gastrointestinal System Procedures,"Drainage, Removal, Revision","Peritoneal Cavity, Pelvic Cavity, Peritoneum","No Device, Drainage Device",Percutaneous
GIS007,GI system drainage (excluding paracentesis),Gastrointestinal System Procedures,"Drainage, Removal, Change, Revision","Stomach, Rectum, Anus, Sigmoid Colon, Appendix, Large Intestine, Small Intestine, ""Stomach, Pylorus"", Duodenum, Transverse Colon, Jejunum, Cecum, Lower Intestinal Tract, Descending Colon, Mesentery, Upper Intestinal Tract, Esophagus, Ileum, Ascending Colon, ""Large Intestine, Left"", Anal Sphincter, ""Esophagus, Lower"", ""Large Intestine, Right"", Omentum, Esophagogastric Junction, ""Esophagus, Upper"", ""Esophagus, Middle"", Ileocecal Valve","Drainage Device, No Device","Via Natural or Artificial Opening, Open, Via Natural or Artificial Opening Endoscopic, Percutaneous, Percutaneous Endoscopic, External"
GIS008,Appendectomy,Gastrointestinal System Procedures,Resection,Appendix,No Device,"Percutaneous Endoscopic, Open, Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening"
GIS009,Colectomy,Gastrointestinal System Procedures,"Resection, Excision, Destruction","Sigmoid Colon, ""Large Intestine, Right"", Transverse Colon, Cecum, Large Intestine, Descending Colon, ""Large Intestine, Left"", Ascending Colon, Ileocecal Valve, Appendix",No Device,"Open, Percutaneous Endoscopic, Via Natural or Artificial Opening With Percutaneous Endoscopic Assistance"
GIS010,Gastrectomy,Gastrointestinal System Procedures,"Excision, Resection, Destruction","Stomach, Esophagogastric Junction, ""Stomach, Pylorus""",No Device,"Percutaneous Endoscopic, Open"
GIS011,Small bowel resection,Gastrointestinal System Procedures,"Excision, Resection, Destruction","Small Intestine, Ileum, Jejunum",No Device,"Open, Percutaneous Endoscopic"
GIS012,Duodenal resection,Gastrointestinal System Procedures,"Excision, Resection, Destruction",Duodenum,No Device,"Open, Percutaneous Endoscopic"
GIS013,Proctectomy or anal resection,Gastrointestinal System Procedures,"Excision, Resection, Destruction","Rectum, Anus, Anal Sphincter",No Device,"Open, Percutaneous Endoscopic, External"
GIS014,Esophagectomy,Gastrointestinal System Procedures,"Excision, Resection, Bypass, Destruction","""Esophagus, Lower"", Esophagus, ""Esophagus, Middle"", ""Esophagus, Upper""","No Device, Autologous Tissue Substitute","Open, Percutaneous Endoscopic"
GIS015,Omentectomy or peritoneum resection,Gastrointestinal System Procedures,"Excision, Resection, Destruction","Omentum, Peritoneum, Mesentery",No Device,"Open, Percutaneous Endoscopic"
GIS016,GI system endoscopic therapeutic proce,Gastrointestinal System Procedures,"Excision, Destruction, Resection","Transverse Colon, Ascending Colon, Sigmoid Colon, Rectum, Cecum, Descending Colon, Stomach, Duodenum, ""Stomach, Pylorus"", Large Intestine, Jejunum, Anus, Esophagus, ""Large Intestine, Right"", Ileocecal Valve, Esophagogastric Junction, ""Esophagus, Lower"", Small Intestine, Ileum, ""Large Intestine, Left"", ""Esophagus, Middle"", ""Esophagus, Upper"", Omentum, Peritoneum, Appendix, Mesentery, Anal Sphincter",No Device,"Via Natural or Artificial Opening Endoscopic, Via Natural or Artificial Opening, Percutaneous"
